video_id,title,publishedAt,channelTitle,tags
FlZw7NC09Do,funny video 😂😂😂 AI manga #shorts,2023-01-30T14:00:14Z,PiranhaaPlantPuppet,"['video', 'sharing', 'camera phone', 'video phone', 'free', 'upload']"
90tXPbyRGS8,Midjourney Beginners Tutorial – Getting Started & Creating Your First AI Art,2023-01-30T14:00:09Z,Spoon Graphics,"['midjourney', 'midjourney ai', 'midjourney ai tutorial', 'midjourney tutorial', 'midjourney v4', 'midjourney how to use', 'midjourney ai art', 'midjourney tips', 'midjourney beginners guide', 'how to use midjourney', 'how to use midjourney ai', 'how to use midjourney discord', 'how to use midjourney ai discord', 'midjourney beginners', 'getting started with mi', 'getting started with midjourney', 'midjourney getting started', 'ai art', 'ai art how to', 'ai art how to make', 'ai art tutorial', 'ai art beginner']"
t7bCOqDZpJA,Marines Outsmart DARPA's Advanced AI,2023-01-29T20:34:26Z,The Fat Electrician,
rnXgIMyG1K4,J'AI ACHETÉ LA FERRARI LA MOINS CHÈRE POSSIBLE ! (ne faites pas ça),2023-01-29T16:25:00Z,Amixem,"['amixem', 'humour', 'delire']"
2nCoZB6-lao,Open AI CEO Sam Altman | Chat GPT | #mangeshshinde #shorts,2023-01-29T14:30:01Z,Mangesh Shinde Shorts,
bI9zviIQvpw,COMMENT J'AI BATTU LE CHAMPION DU BASKET de Wii SPORTS RESORT,2023-01-29T12:00:32Z,Paqman,"['jeux vidéo', 'gaming', 'clip', 'twitch', 'twitchfr', 'montage', 'best of', 'shorts', 'tiktok', 'humour', 'drole', 'wii sports', 'wii sports resort', 'matt', 'wii']"
HGDxu3kPErs,Advanced ChatGPT Prompt Tutorial (10X Your Productivity With AI),2023-01-29T08:00:07Z,Dr Alex Young,"['chatgpt', 'how to use chatgpt', 'how to chatgpt', 'chatgpt website', 'website chatgpt', 'chatgpt business', 'business chatgpt', 'chat gpt', 'chat', 'gpt', 'openai', 'open ai', 'website', 'business', 'business ideas', 'chatgpt explained', 'what is chatgpt', 'chatgpt examples', 'chat gpt prompts', 'chatbot prompts mastering', 'chatgpt prompts for writing', 'chatgpt prompts for copywriting', 'chatgpt prompts list', 'prompts']"
a-xGt-YvYys,The A.I. Episode (Chat GPT Takes Over The World) - JonTron,2023-01-28T23:04:56Z,JonTronShow,"['jontron', 'jontronshow', 'ai', 'artificial intelligence', 'chat gpt', 'chatgpt', 'openai', 'elon musk']"
1EDqNyefUmM,AI Unveiled: ChatGPT and Deepfake - Hear this Critical Warning!,2023-01-28T21:15:05Z,PREPSTEADERS,"['Survival', 'Homesteading', 'Prepping', 'Preppers', 'prepsteaders', 'wisdom creek', 'freeze dry', 'chat gpt', 'openai chatbot gpt', 'deepfake', 'dall-e 2', 'chatgpt']"
fqePZvhdkms,I Asked AI To Cook For Me: This Was The Result,2023-01-28T17:09:58Z,KWOOWK,"['artificial intelligence', 'gpt 3', 'weird food', 'ai food', 'chatgpt', 'chat gpt', 'artificial intelligence food', 'ai recipes', 'kwoowk', 'kwook', 'letskwoowk', 'kevin kwoowk', 'kevin tatar kwoowk']"
TydYCIqWF1s,This AI will replace your EYES - Nvidia Maxine,2023-01-28T16:24:49Z,TechBar,"['Nvidia Maxine', 'Artificial intelligence', 'Ai tool', 'Techbar', 'Tech bar', 'Sanchit shokeen', 'India', 'Hindi', 'Nvidia']"
iTHcSfkPgWM,J'AI CODÉ UN JEU AVEC CHATGPT,2023-01-28T15:30:48Z,Trash Bandicoot,"['Jeux vidéo', 'Jeu vidéo', 'Gaming', 'Game']"
EZB9VWib2WE,"""Day of Judgement in AI"" - We Asked AI to Draw Islamic Moments!",2023-01-28T11:08:34Z,Towards Eternity,"['islam', 'muslim', 'towards etenity', 'mijourney', 'ai', 'towards eternity ai', 'towards ai', 'towarda eternity']"
RTRdINGv9-A,The Best AI Editing Software For Audio | Adobe Podcast,2023-01-28T06:14:53Z,Adrian Falk,"['The Best AI Editing Software For Audio | Adobe Podcast', 'AI video editing', 'AI voiceovers', 'let ai edit for you', 'Adobe Podcast', 'adobe podcast tutorial', 'how to use adobe podcast', 'adobe podcast beta', 'editing voiceovers for beginners', 'how to edit voiceovers', 'editing voiceovers', 'editing audio for beginners', ""adobe's new beta app"", 'adobe audio enhancer', 'Best Software for audio']"
rKSZSPeW2Qk,Lịch sử Ai Cập Cổ Đại - Phần 1 - Tóm tắt nhanh lịch sử thế giới - EZ Sử,2023-01-28T03:00:11Z,EZ Sử,"['ez sử', 'tóm tắt lịch sử', 'lịch sử thế giới', 'lịch sử việt nam', 'tóm tắt nhanh', 'ai cập cổ đại', 'pharaoh', 'lịch sử ai cập', 'tom tat nhanh', 'tomtat nhanh', 'lịch sử ai cập cổ đại', 'xác ướp ai cập cổ đại', 'kim tự tháp ai cập cổ đại', 'lich su the gioi', 'tom tat lich su', 'tom tat lich su the gioi', 'ez su', 'ez sử việt nam', 'ez sử thế giới', 'lịch sử', 'lịch sử thế giới cận đại', 'lịch sử trung quốc']"
3EbaLjeVge4,FREE AI Image Upscaler | Turn Anime / Manga / IRL Images to 4K | (Easy Setup),2023-01-28T01:02:02Z,Dubufy,"['#ai', '#chatgpt', '#upscale', '#anime', '#manga']"
agQqI4rLwdk,I'm Not Actually Looking At You,2023-01-27T20:15:01Z,Linus Tech Tips,"['nvidia broadcast', 'stream', 'twitch', 'ai', 'artificial intelligence', 'technology', 'tech']"
Oy2myE76ZfY,How to Use AI for Research: Elicit.org for writing a literature review,2023-01-27T19:36:11Z,BU CARES,
mLSWhENuwHg,This NEW AI Technology Turns Text Into AI Human Videos,2023-01-27T19:02:03Z,Paul Ponna Official,
3kJOAD3n05s,How to use ChatGPT (AI) for Real Estate Agents #shorts,2023-01-27T18:00:03Z,Eric Preston,
LBBVTB2uMBE,Artificial Intelligence Made This Recipe,2023-01-27T16:52:47Z,KWOOWK,"['artificial intelligence', 'ai generated recipe', 'gpt 3', 'kwoowk', 'kwook', 'letskwoowk', 'kevin kwoowk', 'kwoowk ai', 'kwoowk artificial intelligence']"
4oHo1ivJIEo,ए आई गन लोड करना l Dr Umar Khan,2023-01-27T13:43:52Z,Vet Surgery,
w5TyzWRKsYQ,J'ai mal,2023-01-26T23:01:00Z,Aya Nakamura - Topic,"['Aya Nakamura', 'DNK', ""J'ai mal""]"
6kayotqSxiw,Can an AI make an Undertale quiz?,2023-01-26T19:30:00Z,CiblesGD,"['undertale', 'under', 'tale', 'delta', 'rune', 'deltarune', 'ai', 'ai funny', 'openai', 'chatgpt', 'toby fox', 'sans', 'papyrus', 'gaster', 'w.d gaster', 'inferkit', 'ai undertale', 'ai rewrites undertale', 'rewrite undertale', 'i let an ai rewrite undertale', 'what if an ai rewrites undertale?', 'undertale ai', 'ai dungeon', 'spamton', 'spamton neo', 'undertale quiz']"
1CBQM2X8BZQ,This is a computer - XDO.AI PicoPC,2023-01-26T18:16:54Z,Linus Tech Tips,"['tiny pc', 'worlds smallest pc', 'travel pc', 'tiny projector', 'nvme', 'android projector', 'intel compute stick', 'kickstarter', 'tech', 'gaming']"
G08hY8dSrUY,A.I. Versus The Law,2023-01-26T17:28:01Z,LegalEagle,"['Legaleagle', 'legal eagle', 'breaking news', 'case', 'congress', 'court case', 'crime', 'guilty', 'jury', 'latest news', 'news', 'not guilty', 'political', 'politics', 'politics news', 'scotus', 'supreme court', 'the trial', 'trial', 'Verdict', 'copyright', 'law advice', 'legal analysis', 'lawyer', 'attorney', 'Real lawyer', 'Real law review']"
WPxaS4FQb5M,J'ai troll un Noob avec les Mods les plus Chelou de Minecraft..,2023-01-26T17:00:25Z,Ninjaxx,"['minecraft', 'minecraft ninjaxx', 'ninjaxx', 'ninjax']"
X-ES8wXRWCI,90 Seconds to Midnight #technology #artificialintelligence #ai,2023-01-26T15:59:46Z,Thomas Mulligan,
tHZRXN_pVi8,Can AI have a mind of its own? ⏲️ 6 Minute English,2023-01-26T16:00:33Z,BBC Learning English,"['learn English', 'English vocabulary', 'speak English', 'bbc english', 'English teacher', '英語', '영어', 'อังกฤษ', 'Anh', 'English grammar', 'IELTS', 'British English', 'English pronunciation', 'English expressions', 'BBC Learning English', 'slang', 'English speaking', 'ELT', 'Ingilizce', 'bbc learning english', 'English words', 'English podcast', '6 minute english', 'artificial intelligence', 'robots']"
trwd9GsUgQU,"Figma to WordPress AI, websites and themes automagically. Free forever. No code required.",2023-01-26T06:22:16Z,YOTAKO,"['WordPress', 'Yotako', 'Design to code', 'Plugin', 'Theme', 'Figma', 'Figma to WordPress', 'WordPress theme', 'AI']"
I4psRiE_YaM,Hear professor's prediction on the future of AI tools,2023-01-26T04:23:18Z,CNN,"['ChatGPT', 'AI', 'AI tools', 'AI-powered', 'AI-powered chatbot', 'chatbot', 'responses', 'prompts', 'tech', 'Professor Scott Galloway', 'Scott Galloway', 'Galloway', 'Anderson Cooper', 'AI-generated content', 'AI-generated', 'content']"
fzOgWLuotOY,[1930] Cuba before communism - Improved using AI Technology @aicolouring,2023-01-26T01:44:43Z,AI Colouring,"['ai', '4k', '60fps', 'Artificial Inteligence', 'cuba', 'communism', 'cuba before communism', 'fugencio batista', 'raul castro', 'familia castro', 'irmao castro', 'camaradas', 'camarada castro', 'castro assassino', 'castro terrorista', 'che guevara', 'Che que vara', 'che guevara gay', 'gay', 'ilha dos viados', '100 years ago', 'cuba baseball', 'varadero', 'cayo coco', 'trinidad', 'cuba hurricane', 'cuba explosion', 'pelota cuba', 'el toque cuba', 'flag of puerto', 'cuban peso', 'terror communist', 'holocaust', 'terro vermelho', 'revolucion cuba']"
l8aa7G9IOuY,Alonzo - J'AI GRANDI feat. @fayv_,2023-01-25T17:00:08Z,Alonzo,
VFykZBOVKmo,Gran Turismo 7 Has the Strangest AI I've Ever Seen,2023-01-25T16:08:19Z,Roflwaffle,"['Gran Turismo 7', 'Gran Turismo', 'GT7', 'AI', 'single player', 'offline', 'racing', 'menu books', 'career', 'rubber banding', 'custom race', 'rolling starts', 'clubman cup plus', 'glitch', 'GT Sophy', 'PS5', 'Sony']"
sa5GL6Io55M,Want to put artificial intelligence related skills on your resume? Check these out 🤩 #ai #tech,2023-01-25T15:00:39Z,Tiff In Tech,
LmkoZOBiNa8,Is AI replacing CAD designers already?,2023-01-31T19:00:13Z,SolidWorks With Aryan Fallahi,"['solidworks tutorials with ryan', 'solidworks for beginners', 'solidworks assembly tutorial', 'solidworks tutorial', 'solidworks 2020 tutorial for beginners', 'solid works', 'solidworks 2021 tutorial', 'how to use solidworks', 'chatgpt', 'openai', 'midjourney', 'replacing cad designers by ai', 'solidworks chatgpt', 'chatgpt 3d design', 'ai 3d design', 'artificial intelligence', 'graphic design', 'machine learning', 'open ai', 'artificial intelligence robot', 'artificial intelligence art', 'graphic design logo']"
vy1m5ViwvOM,Can AI Beat Me In Drumming?,2023-01-31T14:57:46Z,Drum Beats Online,"['I Challenged AI To A Drum-Off', 'drums', 'drumming', 'drummer', 'music', 'drum', 'rock music', 'drum beats online', 'drum lessons', 'drum tutorials', 'guitar', 'bass', 'piano', 'singing', 'band', 'rock band', 'I prevail', 'ai', 'chat gpt', 'open ai', 'drum-off', 'drum off', 'music battle', 'battle of the bands']"
OUFcCoTx8zM,5 Free AI Content Writing Tool in 2024,2023-01-31T13:45:02Z,Be Productive,"['ai content writing tools', 'ai content writer', 'ai content writing tool', 'free ai content writing tools', 'content writing', 'free blog content generator', 'article writing software', 'ai copywriting software', 'ai article writer', 'ai writing', 'ai copywriting tool free', 'free ai content writer', 'ai content', 'ai content writing', 'ai copywriting', 'free ai writing tools', 'ai wring tools free', 'free ai tools', 'free ai blog writing', 'best ai content generator', 'unique article generator', 'ai', 'chat gpt']"
zVjlkPmQWT8,A Time of Deep Philosophical Exasperation — David Foster Wallace [AI],2023-01-31T13:25:10Z,Leonardo Fernandez,
x6iU-w4Qr80,7 New AI Apps That Will TRANSFORM Your Life,2023-01-31T12:11:00Z,Shu Omi,"['Shu Omi', 'chat gpt', 'ai tools', 'open ai', 'open ai chat gpt', 'best ai tools', 'how to use ai', 'free ai tools', 'artificial intelligence', 'chatgpt explained', 'chat gpt app', 'productivity', 'apps', 'best apps', 'ai apps', 'best ai apps', 'mac', 'shu omi ai', 'napkin app', 'top ai apps', 'how to use chatgpt', 'new ai apps', 'new ai tools', 'ai video editor', 'ai writing apps', 'personal ai', 'personal ai shu omi', 'ai tools for writing', 'ai tools for content creation', 'ai tools better than chatgpt', 'notion ai']"
WrlEY7k7HJI,向 AI 繪圖說不？全球頂尖繪師，為何出現抵制 AI 風潮？｜志祺七七,2023-01-31T11:28:40Z,志祺七七,"['AI藝術', '人工智慧', 'yt:cc=on']"
ffb7CB9IAPM,Will AI lead to a new colonialism?,2023-01-31T09:45:27Z,DW Shift,"['DW', 'dw shift', 'Deutsche Welle', 'Shift', 'Technology', 'Tech', 'digital']"
Mrs6q1eypmw,A Single AI Prompt Built This Entire Website!,2023-01-31T02:18:40Z,Matt Wolfe,"['AI', 'AI Art', 'AI Copy', 'AI Copywriting', 'AI Landing Page Builder', 'AI Opt-in Page', 'AI Product Validation', 'AI Sales Page', 'AI Squeeze Page', 'AI Webdesign', 'AI landing page', 'Artificial Intelligence', 'Deep Learning', 'Digital Marketing', 'FutureTools', 'Futurism', 'Internet Marketing', 'Landing Page Builder', 'Machine Learning', 'Mixo', 'Mixo.io', 'Product Validation', 'ai website builder']"
88BR4-RT8AE,I asked A.I. to write a hit song (It didn’t end well) #shorts,2023-01-30T23:22:12Z,Your Favorite Martian,"['youtube shorts', 'Yourfavoritemartian', 'your favorite martian', 'yfm', 'puff puff', 'A.i.', 'a.i. song', ""Gentleman's Ballad"", 'artificial intelligence']"
LXcpYfImJpA,Use AI to get ahead while others panic (PREPARE NOW) | Tom Bilyeu,2023-01-30T22:54:35Z,Tom Bilyeu,"['Tom Bilyeu', 'Impact Theory', 'ImpactTheory', 'TomBilyeu', 'Inside Quest', 'InsideQuest', 'Tom Bilyou', 'Theory Impact', 'motivation', 'inspiration', 'talk show', 'interview', 'motivational speech']"
2C55fvxzfHk,Letting AI decide what I eat in a day!,2023-01-30T21:50:32Z,Hailey Julia,"['ai', 'artificial intelligence', 'What I eat in a day', 'Letting AI choose what I eat', 'AI chooses what I eat', 'AI decides what I eat in a day!', 'challenge videos', 'Hailey Julia', 'vlogger', 'vlogs']"
sLxTBsQ9zYM,Has A.I. Discovered Alien Life?,2023-01-30T17:58:29Z,melodysheep,
W6x6c0i3AwI,J'ai Brisé 50 LOIS sur Minecraft !,2023-01-30T16:53:08Z,Unchained_Off,"['unchained', 'unchained_off', 'unchained off', 'unchained fortnite', 'fortnite unchained', 'fortnite', 'fortnite battle royale', 'gaming', 'gameplay', 'fortnite chapitre 4', 'fortnite mise à jour', 'vbucks', 'défilé de mode', 'minecraft', 'unchained minecraft', 'mc', 'fuze', 'troll minecraft', 'noob', 'noob minecraft', 'aventure', 'ninjax', 'minecraft mais', 'minecraft fr', 'minecraft but', 'cheat', 'cheat minecraft', 'tnt', 'tnt minecraft', 'mrbeast', 'mode', 'mode minecraft', 'brisé', 'loi', 'lois', 'mythe', 'mythe minecraft', 'lois minecraft', 'mod', ""J'ai Brisé 50 LOIS""]"
FlZw7NC09Do,funny video 😂😂😂 AI manga #shorts,2023-01-30T14:00:14Z,PiranhaaPlantPuppet,"['video', 'sharing', 'camera phone', 'video phone', 'free', 'upload']"
90tXPbyRGS8,Midjourney Beginners Tutorial – Getting Started & Creating Your First AI Art,2023-01-30T14:00:09Z,Spoon Graphics,"['midjourney', 'midjourney ai', 'midjourney ai tutorial', 'midjourney tutorial', 'midjourney v4', 'midjourney how to use', 'midjourney ai art', 'midjourney tips', 'midjourney beginners guide', 'how to use midjourney', 'how to use midjourney ai', 'how to use midjourney discord', 'how to use midjourney ai discord', 'midjourney beginners', 'getting started with mi', 'getting started with midjourney', 'midjourney getting started', 'ai art', 'ai art how to', 'ai art how to make', 'ai art tutorial', 'ai art beginner']"
vvdugpEYABQ,Oliver Tree and Belle Delphine AI Manga style #shorts #olivertree #aimanga #aianimation #aianime #ai,2023-01-30T11:00:41Z,AInimetions,"['oliver tree miss you', 'miss you', 'oliver tree', 'miss you oliver tree', 'miss you lyrics', 'oliver tree miss you remix', 'oliver tree miss you speed up', 'miss you oliver tree lyrics', 'miss you tiktok song', 'oliver tree robin schulz miss you speed up', 'oliver tree lyrics', 'oliver tree ugly is beautiful', 'miss you tiktok', 'miss you sped up', 'oliver tree i hate you', 'oliver tree nickell', 'oliver tree hurt', 'ugly is beautiful oliver tree', 'miss you tiktok remix', 'miss you oliver tree remix']"
t7bCOqDZpJA,Marines Outsmart DARPA's Advanced AI,2023-01-29T20:34:26Z,The Fat Electrician,
wxc3sb_rIaM,Day 22 of trying to get a rare AI ! Un peu d'aide !!!  #aimanga #mangaai #AI #rareai #family #son,2023-01-29T19:01:28Z,Hot Dog Streamé,
u9yn5u6fDd0,je ne vous ai jamais parlé de ça...,2023-01-29T17:00:36Z,Andie Ella,"['andie ella', 'youtubeuse', 'maquilleuse', 'pro', 'beauté', 'lifestyle', 'makeup', 'mon histoire', 'mon vécu', 'alimentation', 'vlog', 'dressing', 'food', 'cuisine']"
rnXgIMyG1K4,J'AI ACHETÉ LA FERRARI LA MOINS CHÈRE POSSIBLE ! (ne faites pas ça),2023-01-29T16:25:00Z,Amixem,"['amixem', 'humour', 'delire']"
09SXKeDBods,This AI GENERATED ALBUM ART has people UPSET,2023-01-29T15:45:39Z,What's The Buzz?,
2nCoZB6-lao,Open AI CEO Sam Altman | Chat GPT | #mangeshshinde #shorts,2023-01-29T14:30:01Z,Mangesh Shinde Shorts,
HwxIhZwVCpQ,Talking to MYSELF with AI is disturbing...,2023-01-29T00:13:18Z,Flamingo,"['roblox', 'flamingo', 'flamingo vlog', 'flamingo funny', 'chatbot funny', 'roblox chatbot']"
a-xGt-YvYys,The A.I. Episode (Chat GPT Takes Over The World) - JonTron,2023-01-28T23:04:56Z,JonTronShow,"['jontron', 'jontronshow', 'ai', 'artificial intelligence', 'chat gpt', 'chatgpt', 'openai', 'elon musk']"
1EDqNyefUmM,AI Unveiled: ChatGPT and Deepfake - Hear this Critical Warning!,2023-01-28T21:15:05Z,PREPSTEADERS,"['Survival', 'Homesteading', 'Prepping', 'Preppers', 'prepsteaders', 'wisdom creek', 'freeze dry', 'chat gpt', 'openai chatbot gpt', 'deepfake', 'dall-e 2', 'chatgpt']"
yISWdodwQX4,Day 21 of trying to get a rare AI ! #aimanga #mangaai #AI #rareai #aimangafilter #short #shorts,2023-01-28T20:44:36Z,Hot Dog Streamé,
fqePZvhdkms,I Asked AI To Cook For Me: This Was The Result,2023-01-28T17:09:58Z,KWOOWK,"['artificial intelligence', 'gpt 3', 'weird food', 'ai food', 'chatgpt', 'chat gpt', 'artificial intelligence food', 'ai recipes', 'kwoowk', 'kwook', 'letskwoowk', 'kevin kwoowk', 'kevin tatar kwoowk']"
TydYCIqWF1s,This AI will replace your EYES - Nvidia Maxine,2023-01-28T16:24:49Z,TechBar,"['Nvidia Maxine', 'Artificial intelligence', 'Ai tool', 'Techbar', 'Tech bar', 'Sanchit shokeen', 'India', 'Hindi', 'Nvidia']"
iTHcSfkPgWM,J'AI CODÉ UN JEU AVEC CHATGPT,2023-01-28T15:30:48Z,Trash Bandicoot,"['Jeux vidéo', 'Jeu vidéo', 'Gaming', 'Game']"
Z5bZJ5b-aDA,I Used AI to create Stunning VFX!,2023-01-28T14:55:15Z,itx_kunwar,"['ai', 'open ai', 'ai art', 'ai tools', 'ai software', 'ai apps', 'using ai', 'ai design', 'what is ai', 'blender ai', 'ai tools 2023', 'best ai tools', 'free ai tools', 'ai explained', 'open source ai', 'general use ai', 'after effects', 'marvel', 'vfx', 'visual effects', 'itx kunwar', 'action', 'after effects tutorial', 'vfx india', 'cgi', 'Netflix', 'indian vfx', 'vfx react', 'vfx breakdown', 'AI is the future', 'artificial intelligence', 'Midjourney', 'openai', 'artist']"
EZB9VWib2WE,"""Day of Judgement in AI"" - We Asked AI to Draw Islamic Moments!",2023-01-28T11:08:34Z,Towards Eternity,"['islam', 'muslim', 'towards etenity', 'mijourney', 'ai', 'towards eternity ai', 'towards ai', 'towarda eternity']"
rKSZSPeW2Qk,Lịch sử Ai Cập Cổ Đại - Phần 1 - Tóm tắt nhanh lịch sử thế giới - EZ Sử,2023-01-28T03:00:11Z,EZ Sử,"['ez sử', 'tóm tắt lịch sử', 'lịch sử thế giới', 'lịch sử việt nam', 'tóm tắt nhanh', 'ai cập cổ đại', 'pharaoh', 'lịch sử ai cập', 'tom tat nhanh', 'tomtat nhanh', 'lịch sử ai cập cổ đại', 'xác ướp ai cập cổ đại', 'kim tự tháp ai cập cổ đại', 'lich su the gioi', 'tom tat lich su', 'tom tat lich su the gioi', 'ez su', 'ez sử việt nam', 'ez sử thế giới', 'lịch sử', 'lịch sử thế giới cận đại', 'lịch sử trung quốc']"
3EbaLjeVge4,FREE AI Image Upscaler | Turn Anime / Manga / IRL Images to 4K | (Easy Setup),2023-01-28T01:02:02Z,Dubufy,"['#ai', '#chatgpt', '#upscale', '#anime', '#manga']"
Oy2myE76ZfY,How to Use AI for Research: Elicit.org for writing a literature review,2023-01-27T19:36:11Z,BU CARES,
nIRbN52PA0o,Doomed To Be Replaced: Is AI Art Theft?,2023-01-27T19:00:17Z,Solar Sands,"['Solar Sands', 'Art', 'Drawing', 'Painting', 'AI', 'AI Art', 'Doomsday', 'Robots', 'Tech', 'Steven Zapata']"
mLSWhENuwHg,This NEW AI Technology Turns Text Into AI Human Videos,2023-01-27T19:02:03Z,Paul Ponna Official,
3kJOAD3n05s,How to use ChatGPT (AI) for Real Estate Agents #shorts,2023-01-27T18:00:03Z,Eric Preston,
RTMMcIxO8KQ,AI AI AI QUE MINA PERVERSA 🎶,2023-01-27T17:32:58Z,Funk Explode ,
4oHo1ivJIEo,ए आई गन लोड करना l Dr Umar Khan,2023-01-27T13:43:52Z,Vet Surgery,
w5TyzWRKsYQ,J'ai mal,2023-01-26T23:01:00Z,Aya Nakamura - Topic,"['Aya Nakamura', 'DNK', ""J'ai mal""]"
6kayotqSxiw,Can an AI make an Undertale quiz?,2023-01-26T19:30:00Z,CiblesGD,"['undertale', 'under', 'tale', 'delta', 'rune', 'deltarune', 'ai', 'ai funny', 'openai', 'chatgpt', 'toby fox', 'sans', 'papyrus', 'gaster', 'w.d gaster', 'inferkit', 'ai undertale', 'ai rewrites undertale', 'rewrite undertale', 'i let an ai rewrite undertale', 'what if an ai rewrites undertale?', 'undertale ai', 'ai dungeon', 'spamton', 'spamton neo', 'undertale quiz']"
1CBQM2X8BZQ,This is a computer - XDO.AI PicoPC,2023-01-26T18:16:54Z,Linus Tech Tips,"['tiny pc', 'worlds smallest pc', 'travel pc', 'tiny projector', 'nvme', 'android projector', 'intel compute stick', 'kickstarter', 'tech', 'gaming']"
G08hY8dSrUY,A.I. Versus The Law,2023-01-26T17:28:01Z,LegalEagle,"['Legaleagle', 'legal eagle', 'breaking news', 'case', 'congress', 'court case', 'crime', 'guilty', 'jury', 'latest news', 'news', 'not guilty', 'political', 'politics', 'politics news', 'scotus', 'supreme court', 'the trial', 'trial', 'Verdict', 'copyright', 'law advice', 'legal analysis', 'lawyer', 'attorney', 'Real lawyer', 'Real law review']"
WPxaS4FQb5M,J'ai troll un Noob avec les Mods les plus Chelou de Minecraft..,2023-01-26T17:00:25Z,Ninjaxx,"['minecraft', 'minecraft ninjaxx', 'ninjaxx', 'ninjax']"
X-ES8wXRWCI,90 Seconds to Midnight #technology #artificialintelligence #ai,2023-01-26T15:59:46Z,Thomas Mulligan,
tHZRXN_pVi8,Can AI have a mind of its own? ⏲️ 6 Minute English,2023-01-26T16:00:33Z,BBC Learning English,"['learn English', 'English vocabulary', 'speak English', 'bbc english', 'English teacher', '英語', '영어', 'อังกฤษ', 'Anh', 'English grammar', 'IELTS', 'British English', 'English pronunciation', 'English expressions', 'BBC Learning English', 'slang', 'English speaking', 'ELT', 'Ingilizce', 'bbc learning english', 'English words', 'English podcast', '6 minute english', 'artificial intelligence', 'robots']"
yskCQ_2JkmI,ALBANIA in Warhammer 40k #ai #warhammer40k,2023-01-26T08:06:11Z,whappa,"['Albania', 'army', 'warhammer', '40k', 'warhammer 40k', 'ai', 'midjourney', 'fun', 'gaming', 'gamers', 'game', 'gameplay', 'tabletop', 'europe', 'euro', 'albanian']"
trwd9GsUgQU,"Figma to WordPress AI, websites and themes automagically. Free forever. No code required.",2023-01-26T06:22:16Z,YOTAKO,"['WordPress', 'Yotako', 'Design to code', 'Plugin', 'Theme', 'Figma', 'Figma to WordPress', 'WordPress theme', 'AI']"
I4psRiE_YaM,Hear professor's prediction on the future of AI tools,2023-01-26T04:23:18Z,CNN,"['ChatGPT', 'AI', 'AI tools', 'AI-powered', 'AI-powered chatbot', 'chatbot', 'responses', 'prompts', 'tech', 'Professor Scott Galloway', 'Scott Galloway', 'Galloway', 'Anderson Cooper', 'AI-generated content', 'AI-generated', 'content']"
fzOgWLuotOY,[1930] Cuba before communism - Improved using AI Technology @aicolouring,2023-01-26T01:44:43Z,AI Colouring,"['ai', '4k', '60fps', 'Artificial Inteligence', 'cuba', 'communism', 'cuba before communism', 'fugencio batista', 'raul castro', 'familia castro', 'irmao castro', 'camaradas', 'camarada castro', 'castro assassino', 'castro terrorista', 'che guevara', 'Che que vara', 'che guevara gay', 'gay', 'ilha dos viados', '100 years ago', 'cuba baseball', 'varadero', 'cayo coco', 'trinidad', 'cuba hurricane', 'cuba explosion', 'pelota cuba', 'el toque cuba', 'flag of puerto', 'cuban peso', 'terror communist', 'holocaust', 'terro vermelho', 'revolucion cuba']"
pEsCepRmkNg,This AI Tool Brings Your Old Photos To Life 😲 (Deep Nostalgia) #shorts,2023-01-31T20:30:07Z,Nolan Knows,"['deep nostalgia', 'my heritage', 'artificial intelligence', 'ai', 'deep nostalgia app', 'deep nostalgia photos']"
Npoy2N8_oiA,AI is a powerful tool that can help you connect with your audience #AI #artificialintelligence,2023-01-31T16:00:11Z,David Greenspan,
vy1m5ViwvOM,Can AI Beat Me In Drumming?,2023-01-31T14:57:46Z,Drum Beats Online,"['I Challenged AI To A Drum-Off', 'drums', 'drumming', 'drummer', 'music', 'drum', 'rock music', 'drum beats online', 'drum lessons', 'drum tutorials', 'guitar', 'bass', 'piano', 'singing', 'band', 'rock band', 'I prevail', 'ai', 'chat gpt', 'open ai', 'drum-off', 'drum off', 'music battle', 'battle of the bands']"
KaZwYWLw8ys,Attack on Titan OP 7 [The Rumbling] cover by Ai Mori ft.@AlexTerrible,2023-01-31T14:38:58Z,Ai Mori,"['рок', 'кавер', 'ai mori', 'ай мори', 'атака титанов', 'атака титанов опенинг', 'атака титанов кавер на русском', 'attack on titan', 'attack on titan ost', 'attack on titan opening', 'attack on titan opening cover', 'rumbling attack on titan', 'rubmling cover', 'rumling на русском', 'атака на титанов', 'атака титанов опенинг на русском', 'attack on titan ending', 'anime opening', 'anime ost cover', 'best anime openings', 'dead inside', 'anime', 'opening', 'attack on titan ost cover', 'rumbling rus cover', 'атака титанов 1', 'rock']"
zVjlkPmQWT8,A Time of Deep Philosophical Exasperation — David Foster Wallace [AI],2023-01-31T13:25:10Z,Leonardo Fernandez,
qSIYeaebmhI,Ai Papai Macetei - Anitta feat. Mc Danny | Alvin e os Esquilos,2023-01-31T13:15:02Z,Alvinnn & Cia,
